fecha,valor,max_abs,min_abs,direccion,completo_mediciones,completo_umbral
2020/07/04,2.857143,3.5,2.0,162.734554,100.0,100.0
2020/07/05,1.737383,3.9,0.2,96.050297,99.3,100.0
2020/07/06,2.159375,4.0,0.4,169.934823,98.6,95.8
2020/07/07,1.388889,1.9,0.7,161.583384,100.0,100.0
2020/07/08,2.064957,4.3,0.2,95.246265,99.7,100.0
2020/07/09,2.366667,2.9,1.9,163.333228,97.9,95.8
2020/07/10,3.34537,5.1,1.1,104.132832,100.0,100.0
2020/07/11,2.646875,4.4,1.1,97.893137,100.0,100.0
2020/07/12,2.267857,3.6,1.4,164.421201,100.0,100.0
2020/07/13,3.172571,5.5,1.2,125.35292,99.7,100.0
2020/07/14,1.7,1.7,1.7,169.0,100.0,100.0
2020/07/15,2.856098,4.7,1.1,122.417046,100.0,100.0
2020/07/16,3.51,4.4,2.2,162.999664,100.0,100.0
2020/07/17,2.6375,4.5,1.2,126.850372,99.7,100.0
2020/07/18,2.21,4.0,1.2,166.496301,95.5,95.8
2020/07/19,5.221547,8.3,2.4,103.465369,100.0,100.0
2020/07/20,3.8375,6.0,1.9,121.270714,100.0,100.0
2020/07/21,0.885714,2.3,0.3,173.064422,100.0,100.0
2020/07/22,1.98,3.2,0.2,178.307018,100.0,100.0
2020/07/23,1.272727,2.9,0.3,58.125479,100.0,100.0
2020/07/24,0.5,0.5,0.5,232.0,100.0,100.0
2020/07/25,3.333333,3.7,3.0,168.335262,100.0,100.0
2020/07/26,4.609664,6.8,1.6,100.899725,100.0,100.0
2020/07/27,2.907143,4.5,1.3,165.82123,100.0,100.0
2020/07/28,3.22,6.4,0.5,124.46879,100.0,100.0
2020/07/29,2.848485,5.9,1.3,123.232976,100.0,100.0
2020/07/30,3.331548,5.2,1.5,98.28616,100.0,100.0
2020/07/31,2.85045,5.4,1.1,124.411462,100.0,100.0
2020/08/01,5.158744,7.0,2.8,99.712893,100.0,100.0
2020/08/02,3.349425,5.8,1.0,122.773442,100.0,100.0
2020/08/04,4.393133,7.3,0.9,100.059369,100.0,100.0
2020/08/05,4.905128,7.2,3.2,117.31038,100.0,100.0
2020/08/06,5.5,7.2,3.4,116.619142,100.0,100.0
2020/08/07,5.197959,6.8,3.4,107.741028,100.0,100.0
2020/08/08,4.7152,7.0,2.6,104.672822,100.0,100.0
2020/08/09,4.04949,6.2,2.4,119.267503,100.0,100.0
2020/08/10,3.716575,6.7,1.3,121.121754,100.0,100.0
2020/08/11,3.146358,5.8,1.3,99.62494,100.0,100.0
2020/08/12,3.191176,5.5,1.1,103.11819,100.0,100.0
2020/08/13,3.114851,5.2,1.2,103.366475,100.0,100.0
2020/08/14,1.3,2.5,0.6,349.869643,100.0,100.0
2020/08/15,3.640278,5.6,2.1,119.297347,100.0,100.0
2020/08/16,1.8,1.9,1.7,160.0,100.0,100.0
2020/08/17,2.728409,5.3,0.4,93.148202,99.0,100.0
2020/08/18,1.0375,2.1,0.0,235.306826,100.0,100.0
2020/08/19,2.790385,4.6,0.4,314.07536,99.0,100.0
2020/08/20,1.681203,3.7,0.5,131.561616,95.5,91.7
2020/08/21,2.194928,4.5,0.3,127.81568,86.1,83.3
2020/08/22,1.828571,3.2,0.1,168.098802,100.0,100.0
2020/08/23,2.441071,4.2,1.3,125.400758,100.0,100.0
2020/08/24,2.942793,5.6,1.3,92.177597,100.0,100.0
2020/08/25,2.407692,4.1,1.0,123.790484,100.0,100.0
2020/08/26,3.515038,5.2,1.5,121.1043,100.0,100.0
2020/08/27,2.917486,5.4,1.0,125.112639,100.0,100.0
2020/08/28,2.352356,4.1,0.7,128.185026,100.0,100.0
2020/08/29,2.454945,4.6,0.6,94.941427,98.3,95.8
2020/08/30,1.896154,3.7,0.1,124.582838,100.0,100.0
2020/08/31,1.863158,2.3,1.1,55.518631,97.9,95.8
2020/09/01,2.4875,3.9,1.2,126.322,100.0,100.0
2020/09/02,1.3,1.3,1.3,164.0,100.0,100.0
2020/09/03,3.3,3.6,3.0,168.5,100.0,100.0
2020/09/04,3.562319,5.3,1.5,121.209686,100.0,100.0
2020/09/05,3.866667,7.1,1.3,123.009451,100.0,100.0
2020/09/06,1.0,1.0,1.0,63.0,100.0,100.0
2020/09/07,3.307692,5.1,1.6,100.892828,100.0,100.0
2020/09/08,2.316667,3.9,0.6,180.608314,99.3,100.0
2020/09/11,3.478824,5.6,1.4,101.107222,100.0,100.0
2020/09/12,3.864593,5.7,1.9,101.413365,99.7,100.0
2020/09/13,3.32963,6.0,1.1,119.87155,100.0,100.0
2020/09/14,5.71875,8.3,3.8,116.829461,100.0,100.0
2020/09/15,3.703261,7.5,0.5,103.091083,100.0,100.0
2020/09/16,1.415385,2.1,0.3,359.622005,100.0,100.0
2020/09/17,1.81875,2.7,0.6,0.858987,100.0,100.0
2020/09/18,0.826087,2.9,0.1,50.509785,96.2,95.8
